"model","repeat_id","fold_id","n_test","mae","rmse","rmsle","r2","mape","prediksi_negatif_sebelum_batas"
"linear_raw",2,7,90,6379232731.97398,15759671581.0409,0.435036018248254,0.768188501038001,41.5314260135601,0
"linear_log",2,7,90,6453788968.16079,16494406354.0243,0.391914006680579,0.746069990675705,33.8940505060712,0
"spline_log",2,7,90,5993125786.68971,16487830650.7864,0.386441852609419,0.74627241512331,33.1317912565468,0
"random_forest_log",2,7,90,7019949036.17172,21394155190.2178,0.396816815490626,0.57280030590297,33.6217989412835,0
"linear_raw",2,8,90,5918156642.46402,12737978814.5425,2.08541282765942,0.621959201255392,44.6001939259057,1
"linear_log",2,8,90,6001895793.04825,12170701745.8956,0.435126561319056,0.654881001759915,40.3182099401576,0
"spline_log",2,8,90,6061897699.44167,12893450308.0391,0.435078716423391,0.612674643550072,39.9083782328113,0
"random_forest_log",2,8,90,6391885837.67862,14613912800.6832,0.447270505048531,0.502411137638761,40.3494405022751,0
"linear_raw",2,9,90,5633859920.26195,9728413683.81844,2.18492435111796,0.565344862532193,39.3497928482272,1
"linear_log",2,9,90,5253739727.22797,8807031026.52393,0.405289388363776,0.643778760896763,35.4321023748131,0
"spline_log",2,9,90,5022814895.25765,8137986459.65583,0.403427540994053,0.695845194034416,35.3833646288753,0
"random_forest_log",2,9,90,5116584048.72653,9050246216.33985,0.43967806215375,0.623832261251318,38.4251837391831,0
"linear_raw",2,10,90,7428029884.62463,20152949631.2372,4.80696893741244,0.381480743109837,39.097436842745,5
"linear_log",2,10,90,9870466587.41575,41819590287.2777,0.38698461206244,-1.66339471629679,35.4003478076363,0
"spline_log",2,10,90,10404834204.5005,46581110036.9212,0.39563518449452,-2.30442313295574,35.830704747656,0
"random_forest_log",2,10,90,5261248791.14714,10345019500.5992,0.347750870384496,0.83701838616422,30.8074128163741,0
"linear_raw",3,1,100,4768533848.71454,7213605185.59853,0.417287548733527,0.878952842571247,38.4088410901415,0
"linear_log",3,1,100,5150924633.8311,10122213184.6528,0.371706149198392,0.761657869502643,32.3360375604542,0
"spline_log",3,1,100,4322080007.2466,6613574757.32019,0.367385331293768,0.898252817585269,31.6168997494034,0
"random_forest_log",3,1,100,5682707436.21876,12856276425.434,0.401765895974065,0.61551423886736,34.6562621112239,0
"linear_raw",3,2,100,5393560926.23048,9459417777.12021,0.469307675322084,0.620681781052477,40.7025993938738,0
"linear_log",3,2,100,5243275649.07865,8946666739.86719,0.393135910892026,0.660689413252502,34.6386748426333,0
"spline_log",3,2,100,5100946127.26633,8909170916.33648,0.39223247979161,0.663527580701323,34.1823327933632,0
"random_forest_log",3,2,100,5191872345.24148,8927749765.52173,0.418529222389579,0.662122783672809,37.551709210024,0
"linear_raw",3,3,100,6927853817.99996,18743542980.0523,2.84167641808487,0.357642874972331,38.6990916024288,2
"linear_log",3,3,100,9258739559.39084,38637948296.9675,0.41016295695113,-1.72961431375456,36.8306367988582,0
"spline_log",3,3,100,9953429654.91606,46137611743.7069,0.408277551772591,-2.89209464863145,36.6943678722496,0
"random_forest_log",3,3,100,5675272755.17849,10624243785.0963,0.399413376841838,0.793619230271706,35.4321291911389,0
"linear_raw",3,4,91,5595649430.26994,13055765501.6505,2.07872782254361,0.605612992103256,36.8194166994953,1
"linear_log",3,4,91,5597352407.65258,11934923263.9043,0.378093687592938,0.670422784770918,33.0154111269127,0
"spline_log",3,4,91,5599646843.0864,12468089960.3457,0.389915428387656,0.640318772177802,33.0215585336655,0
"random_forest_log",3,4,91,6150650138.92389,14651768503.4682,0.432507446632327,0.503295591908378,36.0337062073785,0
"linear_raw",3,5,90,8602562599.95958,24136267632.2557,2.09467366463437,0.33890018965048,37.6543145587571,1
"linear_log",3,5,90,8249378930.35828,23197360137.628,0.461416736637567,0.389333723947807,36.0143571300678,0
"spline_log",3,5,90,8266824000.51116,23690850123.7718,0.458280026025489,0.363075290844039,34.6442355455471,0
"random_forest_log",3,5,90,7854141946.49473,23067874764.8434,0.452225198383074,0.396132054698317,33.5313547356168,0
"linear_raw",3,6,90,8047049805.51673,20712144821.3969,2.26086209563148,0.576518716618446,45.7077570532192,1
"linear_log",3,6,90,8188489254.88046,21173312001.8932,0.449329419301854,0.557450691230044,36.7469449882967,0
"spline_log",3,6,90,8114193616.03857,22072800764.276,0.446703569494856,0.519051074401119,36.1779732394697,0
"random_forest_log",3,6,90,8249202261.57524,22055245609.953,0.460792775002211,0.519815796120249,39.0356053384897,0
"linear_raw",3,7,90,5779396777.93617,10213066597.5846,2.08263116528128,0.541893069905506,40.5079406241421,1
"linear_log",3,7,90,5166804462.43617,8469203975.6318,0.401776831849094,0.684978845078301,35.9942787078492,0
